
*******************
* Started on 2010-08-18 08/03/47
* Using start frequency 1001
*******************
* time:pressure:isPlaying:aborting:frequency:maxPressure:pressureThreshold
2010-08-18 08/09/48:115:1:0:1036:119:140:
2010-08-18 08/09/50:114:1:0:1036:119:140:
2010-08-18 08/09/52:114:1:0:1036:119:140:
2010-08-18 08/09/54:113:1:0:1036:119:140:
2010-08-18 08/09/56:113:1:0:1037:119:140:
2010-08-18 08/09/58:114:1:0:1037:119:140:
2010-08-18 08/10/00:115:1:0:1037:119:140:
2010-08-18 08/10/02:114:1:0:1037:119:140:
2010-08-18 08/10/04:113:1:0:1037:119:140:
2010-08-18 08/10/06:114:1:0:1038:117:140:
2010-08-18 08/10/09:113:1:0:1038:117:140:
2010-08-18 08/10/11:113:1:0:1038:117:140:
2010-08-18 08/10/13:114:1:0:1038:117:140:
2010-08-18 08/10/15:114:1:0:1038:117:140:
2010-08-18 08/10/17:114:1:0:1039:117:140:
2010-08-18 08/10/19:114:1:0:1039:117:140:
2010-08-18 08/10/21:113:1:0:1039:118:140:
2010-08-18 08/10/23:114:1:0:1039:118:140:
2010-08-18 08/10/25:114:1:0:1039:118:140:
2010-08-18 08/10/27:113:1:0:1040:116:140:
2010-08-18 08/10/29:114:1:0:1040:117:140:
2010-08-18 08/10/31:114:1:0:1040:117:140:
2010-08-18 08/10/33:114:1:0:1040:117:140:
2010-08-18 08/10/35:114:1:0:1040:117:140:
2010-08-18 08/10/37:115:1:0:1041:117:140:
2010-08-18 08/10/39:114:1:0:1041:117:140:
2010-08-18 08/10/41:114:1:0:1041:117:140:
2010-08-18 08/10/43:114:1:0:1041:117:140:
2010-08-18 08/10/45:113:1:0:1041:117:140:
2010-08-18 08/10/47:114:1:0:1042:119:140:
2010-08-18 08/10/49:114:1:0:1042:119:140:
2010-08-18 08/10/51:114:1:0:1042:119:140:
2010-08-18 08/10/53:113:1:0:1042:119:140:
2010-08-18 08/10/55:113:1:0:1042:119:140:
2010-08-18 08/10/57:114:1:0:1043:119:140:
2010-08-18 08/10/59:114:1:0:1043:119:140:
2010-08-18 08/11/01:114:1:0:1043:119:140:
2010-08-18 08/11/03:114:1:0:1043:120:140:
2010-08-18 08/11/05:114:1:0:1043:120:140:
2010-08-18 08/11/07:114:1:0:1044:119:140:
2010-08-18 08/11/09:114:1:0:1044:120:140:
2010-08-18 08/11/11:114:1:0:1044:120:140:
2010-08-18 08/11/13:113:1:0:1044:120:140:
2010-08-18 08/11/15:113:1:0:1044:120:140:
2010-08-18 08/11/18:114:1:0:1045:119:140:
2010-08-18 08/11/20:113:1:0:1045:119:140:
2010-08-18 08/11/22:114:1:0:1045:119:140:
2010-08-18 08/11/24:114:1:0:1045:119:140:
2010-08-18 08/11/26:115:1:0:1045:119:140:
2010-08-18 08/11/28:114:1:0:1046:119:140:
2010-08-18 08/11/30:113:1:0:1046:119:140:
2010-08-18 08/11/32:114:1:0:1046:119:140:
2010-08-18 08/11/34:114:1:0:1046:119:140:
2010-08-18 08/11/36:114:1:0:1046:119:140:
2010-08-18 08/11/38:114:1:0:1047:117:140:
2010-08-18 08/11/40:114:1:0:1047:117:140:
2010-08-18 08/11/42:113:1:0:1047:117:140:
2010-08-18 08/11/44:113:1:0:1047:117:140:
2010-08-18 08/11/46:114:1:0:1047:117:140:
2010-08-18 08/11/48:113:1:0:1048:117:140:
2010-08-18 08/11/50:113:1:0:1048:117:140:
2010-08-18 08/11/52:114:1:0:1048:117:140:
2010-08-18 08/11/54:114:1:0:1048:117:140:
2010-08-18 08/11/56:113:1:0:1048:117:140:
2010-08-18 08/11/58:114:1:0:1049:117:140:
2010-08-18 08/12/00:114:1:0:1049:117:140:
2010-08-18 08/12/02:114:1:0:1049:117:140:
2010-08-18 08/12/04:114:1:0:1049:117:140:
2010-08-18 08/12/06:114:1:0:1049:117:140:
2010-08-18 08/12/08:114:1:0:1050:117:140:
2010-08-18 08/12/10:115:1:0:1050:117:140:
2010-08-18 08/12/12:113:1:0:1050:117:140:
2010-08-18 08/12/14:114:1:0:1050:117:140:
2010-08-18 08/12/16:114:1:0:1050:117:140:
2010-08-18 08/12/18:113:1:0:1051:117:140:
2010-08-18 08/12/20:114:1:0:1051:117:140:
2010-08-18 08/12/22:114:1:0:1051:117:140:
2010-08-18 08/12/24:114:1:0:1051:117:140:
2010-08-18 08/12/27:114:1:0:1051:117:140:
2010-08-18 08/12/29:113:1:0:1052:117:140:
2010-08-18 08/12/31:114:1:0:1052:117:140:
2010-08-18 08/12/33:114:1:0:1052:117:140:
2010-08-18 08/12/35:113:1:0:1052:117:140:
2010-08-18 08/12/37:114:1:0:1052:117:140:
2010-08-18 08/12/39:113:1:0:1053:116:140:
2010-08-18 08/12/41:114:1:0:1053:117:140:
2010-08-18 08/12/43:113:1:0:1053:117:140:
2010-08-18 08/12/45:114:1:0:1053:117:140:
2010-08-18 08/12/47:113:1:0:1053:117:140:
2010-08-18 08/12/49:114:1:0:1054:117:140:
2010-08-18 08/12/51:114:1:0:1054:117:140:
2010-08-18 08/12/53:114:1:0:1054:117:140:
2010-08-18 08/12/55:113:1:0:1054:117:140:
2010-08-18 08/12/57:114:1:0:1054:117:140:
2010-08-18 08/12/59:114:1:0:1055:117:140:
