4350436.40969	1853177.32547	4266987.69047
4554292.74383 	8477859.85416 	737.74228
33502.25400 	40493.91800 	27761.73400
37527.72900 	40451.64200 	1096.81400
X^3 * Y^0 * Z^2 	-0.007074104957141 	-0.00618752408632162 	-0.591285818328359
X^0 * Y^1 * Z^2 	-0.0920454038759999 	0.0984435629889049 	-10.4022252418245
X^1 * Y^1 * Z^2 	0.0791409870796684 	0.0250765882113626 	-0.25078926426621
X^2 * Y^1 * Z^2 	0.0848327440016874 	-0.0114050869192397 	-12.1514880992407
X^3 * Y^1 * Z^2 	-0.0123007774817552 	-0.019808905810919 	-2.15672197291633
X^0 * Y^2 * Z^2 	0.0310938109585379 	0.00197212412359704 	1.74273823024345
X^1 * Y^2 * Z^2 	0.0738923312603674 	-0.0195277691266256 	-8.32035592864332
X^2 * Y^2 * Z^2 	0.0112527410296934 	-0.132839631977276 	-6.36680041825753
X^3 * Y^2 * Z^2 	0.0146710420194722 	-0.162102788314769 	2.50549080345513
X^0 * Y^3 * Z^2 	0.00606257968591351 	0.00357674800856955 	-0.439081569848989
X^1 * Y^3 * Z^2 	-0.00431771011358251 	-0.0356064912676857 	-1.08916795179852
X^2 * Y^3 * Z^2 	0.0126632840940601 	-0.109758329100259 	2.36226217286401
X^3 * Y^3 * Z^2 	-0.00073447017507533 	-0.0765965387349752 	3.14703677218495
X^0 * Y^0 * Z^3 	-0.0513074804189273 	0.0524414977953711 	-6.05651410591611
X^1 * Y^0 * Z^3 	-0.00232787642664789 	0.017251326177302 	0.173846758047773
X^2 * Y^0 * Z^3 	-0.00529166449074481 	-0.00487221978502106 	-0.464747069686888
X^3 * Y^0 * Z^3 	-0.000865421909487907 	-0.000126062689737694 	-0.0471301485780256
X^0 * Y^1 * Z^3 	0.0254367981757042 	0.00247203094704673 	1.41601169602154
X^1 * Y^1 * Z^3 	0.0385122042618491 	-0.00797289265494783 	-4.57618426806167
X^2 * Y^1 * Z^3 	-0.00529770811260732 	-0.0171477168368597 	-1.46383851053065
X^3 * Y^1 * Z^3 	-0.00843775019575332 	0.00305027827334925 	-0.645816559130992
X^0 * Y^2 * Z^3 	0.0096880515814064 	0.00599464712178133 	-0.742679281686572
X^1 * Y^2 * Z^3 	-0.0163131321988317 	-0.0370827192051593 	-1.70219899010925
X^2 * Y^2 * Z^3 	0.00518645558577191 	-0.13135564874915 	2.66253422221814
X^3 * Y^2 * Z^3 	0.00932281781922484 	-0.019231760027651 	-0.859909186190066
X^0 * Y^3 * Z^3 	0.00257685748739789 	-0.00119221105595102 	0.0480350169564758
X^1 * Y^3 * Z^3 	0.0028772339093166 	-0.000230313620591005 	0.0624083575718544
X^2 * Y^3 * Z^3 	-0.0555516217918921 	-0.0436137503791088 	-0.390625923197149
X^3 * Y^3 * Z^3 	0.109850241929962 	-0.100593062208645 	6.29286998801217
