XW	YW	ZW	X70	Y70	H70	NO
4341874.781	1854429.013	4275041.459	4565200.698	8482410.538	682.703	403
4363951.539	1845355.786	4256704.242	4540434.230	8465312.708	770.614	405
4369421.904	1843664.603	4252256.607	4534220.505	8461588.815	1039.062	406
4349265.267	1877897.759	4258178.254	4541890.846	8501006.954	1226.239	407
4355071.928	1860915.535	4259253.168	4543641.269	8483118.378	934.694	411
4348624.884	1860269.186	4265713.938	4552572.545	8485086.562	694.727	412
4344931.252	1840139.485	4278315.813	4569556.375	8468085.801	835.324	413
4349475.886	1877600.359	4258017.311	4541721.176	8500650.368	1174.308	414
4368117.685	1843057.763	4253848.266	4536365.154	8461550.379	1038.838	415
4339331.581	1862672.227	4274089.588	4563862.483	8490984.559	711.650	417
4357776.971	1847142.126	4262020.637	4547700.605	8469404.828	640.639	419
4337127.642	1867739.331	4274467.459	4564147.469	8496509.877	948.572	421
4354630.664	1839779.691	4268371.670	4556309.422	8463899.940	639.486	423
4365922.580	1844342.790	4255294.436	4538445.813	8463600.655	879.088	424
4360312.563	1843529.595	4261394.224	4546638.337	8465084.244	906.180	425
4352972.174	1841667.046	4269244.835	4557474.500	8466290.762	640.402	427
4361355.776	1845276.969	4259548.818	4544162.095	8466272.722	883.814	429
4339449.406	1868434.862	4271611.215	4560415.651	8496225.163	805.549	430
4356328.949	1861812.674	4257099.496	4541031.545	8483440.771	608.416	433
4358467.037	1845995.979	4261759.255	4547387.659	8468078.741	604.589	434
4352777.791	1845321.755	4267805.366	4555552.490	8469721.064	594.348	436
4356256.699	1850885.020	4262013.041	4547632.779	8473443.434	681.951	439
4359211.223	1847938.006	4260209.028	4545262.307	8469565.023	632.837	440
4353713.097	1845164.355	4267111.555	4554504.023	8469205.670	719.499	442
4344220.565	1851617.787	4273850.943	4563623.641	8478898.878	660.110	444
4344221.530	1852150.125	4273587.218	4563285.648	8479386.833	637.490	445
4341594.634	1866358.707	4270228.079	4558623.401	8493467.648	725.415	447
4351027.584	1845865.487	4269320.586	4557608.396	8470915.421	578.424	458
4354213.236	1864846.994	4259066.460	4542983.100	8487067.970	1369.377	463
4345985.972	1841003.309	4276651.927	4567443.797	8468458.323	680.257	501
4349782.508	1877510.490	4257751.744	4541359.514	8500446.080	1178.437	506
4345267.867	1845325.948	4275462.165	4565851.292	8472709.623	637.251	507
4353990.419	1868888.600	4256677.777	4540271.781	8490862.944	797.133	510
4356618.179	1863706.407	4256410.965	4539838.130	8485064.338	895.560	512
4357724.288	1862481.770	4255734.807	4538982.441	8483500.981	839.417	513
4345872.904	1847801.116	4273721.755	4563528.611	8474740.007	591.919	515
4346711.199	1841913.033	4275521.353	4565916.568	8469004.788	674.050	519
4342126.487	1865585.507	4270031.111	4558356.115	8492546.883	728.335	527
4353760.824	1854846.566	4262664.650	4548596.142	8478069.610	567.291	529
4354771.044	1867676.924	4256506.414	4539987.279	8489441.179	859.810	530
4345553.617	1846529.518	4274620.654	4564730.630	8473700.256	612.492	535
